Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
Saint Lucia	22667	0	358	0	22092	0	217	4	122514	1935	135214	730823	185016	North America	8	517	1	0.0	0.0	1173
Isle of Man	22660	0	79	0	22227	0	354	0	264170	921	150753	1757479	85778	Europe	4	1086	1	0.0	0.0	4127
Burkina Faso	20751	0	375	0	20309	0	67	0	950	17	248995	11395	21850832	Africa	1053	58269	88	0.0	0.0	3
Taiwan	20489	56	853	0	18386	48	1250	0	858	36	11589121	485141	23888131	Asia	1166	28005	2	2.0	0.0	52
Cayman Islands	19373	0	17	0	8553	0	10803	2	289154	254	222773	3325020	66999	North America	3	3941	0	0.0	0.0	161241
Nicaragua	18004	0	220	0	4225	0	13559	0	2665	33	0	0	6754976	North America	375	30704	0	0.0	0.0	2007
Tajikistan	17388	0	124	0	17263	0	1	0	1758	13	0	0	9891902	Asia	569	79773	0	0.0	0.0	0
South Sudan	16955	0	137	0	13250	0	3568	1	1486	12	338083	29628	11410893	Africa	673	83291	34	0.0	0.0	313
Equatorial Guinea	15877	0	182	0	15653	0	42	5	10734	123	273437	184860	1479157	Africa	93	8127	5	0.0	0.0	28
Djibouti	15547	0	189	0	15352	0	6	0	15366	187	284842	281528	1011772	Africa	65	5353	4	0.0	0.0	6
Gibraltar	15313	0	101	0	14599	0	613	10	454743	2999	513118	15237810	33674	Europe	2	333	0	0.0	0.0	18204
San Marino	14207	0	112	0	13703	0	392	4	417252	3289	134668	3955123	34049	Europe	2	304	0	0.0	0.0	11513
CAR	14187	0	113	0	6859	0	7215	2	2855	23	81294	16361	4968679	Africa	350	43971	61	0.0	0.0	1452
Grenada	13679	0	216	0	13258	0	205	4	120641	1905	136411	1203067	113386	North America	8	525	1	0.0	0.0	1808
Bhutan	12702	508	6	0	8291	381	4405	0	16167	8	1983905	2525119	785668	Asia	62	130945	0	647.0	0.0	5607
Liechtenstein	12001	93	78	0	11485	298	438	4	313268	2036	80413	2099063	38309	Europe	3	491	0	2428.0	0.0	11433
Gambia	11924	0	365	0	11461	0	98	4	4715	144	135608	53623	2528901	Africa	212	6928	19	0.0	0.0	39
Yemen	11769	0	2134	0	8689	0	946	23	381	69	265253	8581	30912295	Asia	2627	14486	117	0.0	0.0	31
Greenland	11715	0	16	0	2761	0	8938	9	205768	281	164926	2896844	56933	North America	5	3558	0	0.0	0.0	156992
Bermuda	11490	0	123	0	11150	0	217	0	185631	1987	795082	12845243	61897	North America	5	503	0	0.0	0.0	3506
Dominica	11016	0	57	0	10563	0	396	0	152403	789	165338	2287402	72282	North America	7	1268	0	0.0	0.0	5479
Saint Martin	9877	0	63	0	1399	0	8415	7	248434	1585	78366	1971125	39757	North America	4	631	1	0.0	0.0	211661
